AUDI ;A1 Sportback ;1.8 -16V ;Ambition (192cv);DCT -7 ;0.014;114;0 ;0 ;11;13
AUDI ;A1 Sportback ;1.4 -16V ;Attraction (125cv);DCT -7 ;0.02;97;0 ;0 ;13;15
AUDI ;A3 Sportback ;1.4 -16V ;;DCT -7 ;0.045;105;0 ;0 ;12;14
AUDI ;RS3 Sportback ;2.5 -20V ;(367cv) ;DCT -7 ;0.012;159;0 ;0 ;8;10
AUDI ;S3 Sportback ;2.0 -16V ;(286cv) ;DCT -6 ;0.012;135;0 ;0 ;9;12
AUDI ;A3 Sedan ;1.4 -16V ;Attraction (150cv);A -6 ;0.013;105;7.8;9.9;12;14
AUDI ;A3 Sedan ;1.4 -16V ;Ambiente (150cv);A -6 ;0.013;105;7.8;9.9;12;14
AUDI ;A3 Sedan ;2.0 -16V ;Ambition ;DCT -6 ;0.022;119;0 ;0 ;10;13
AUDI ;S3 Sedan ;2.0 -16V ;(286cv) ;DCT -6 ;0.012;135;0 ;0 ;9;12
AUDI ;A4 Sedan ;1.8 -16V ;Attraction (170cv) ;CVT ;0.032;140;0 ;0 ;9;11
AUDI ;A4 Sedan ;1.8 -16V ;Ambiente (170cv) ;CVT ;0.032;140;0 ;0 ;9;11
AUDI ;A4 Sedan ;2.0 -16V ;Attraction ;DCT -7 ;0.013;109;0 ;0 ;11;14
AUDI ;A4 Sedan ;2.0 -16V ;Ambiente ;DCT -7 ;0.013;109;0 ;0 ;11;14
AUDI ;A5 Cabriolet ;2.0 -16V ;Ambition (230cv);DCT -7 ;0.026;152;0 ;0 ;8;10
AUDI ;A5 Coupe ;2.0 -16V ;Ambition (230cv);DCT -7 ;0.026;149;0 ;0 ;8;10
AUDI ;A5 Sportback ;2.0 -16V ;Ambition (225cv) ;DCT -7 ;0.05;150;0 ;0 ;8;12
AUDI ;A5 Sportback ;1.8 -16V ;Attraction (170cv) ;CVT ;0.032;140;0 ;0 ;9;11
AUDI ;A5 Sportback ;1.8 -16V ;Ambiente (170cv) ;CVT ;0.032;140;0 ;0 ;9;11
AUDI ;A5 Sportback ;2.0 -16V ;Attraction (230cv) ;DCT -7 ;0.035;150;0 ;0 ;8;10
AUDI ;A5 Sportback ;2.0 -16V ;Ambiente (230cv) ;DCT -7 ;0.035;150;0 ;0 ;8;10
AUDI ;A6 Sedan ;3.0 -24V ;Ambiente (333cv) ;DCT -7 ;0.033;159;0 ;0 ;8;11
AUDI ;A6 Sedan ;2.0 -16V ;Attraction (252cv) ;DCT -7 ;0.016;154;0 ;0 ;8;10
AUDI ;A7 Sportback ;2.0 -16V ;Attraction (252cv) ;DCT -7 ;0.016;154;0 ;0 ;8;10
AUDI ;A8 ;4.0 -32V ;Sedan (435cv) ;A -8 ;0.013;170;0 ;0 ;7;10
AUDI ;A8 L ;3.0 -24V ;Longo (310cv) ;A -8 ;0.04;156;0 ;0 ;8;11
AUDI ;A8 L ;6.3 -48V ;Longo (500cv) ;A -8 ;0.033;225;0 ;0 ;6;7
AUDI ;Q5 ;3.0 -24V ;Ambition (272cv) ;A -8 ;0.008;180;0 ;0 ;7;9
AUDI ;S6 Sedan ;4.0 -32V ;(450cv) ;DCT -7 ;0.012;176;0 ;0 ;7;10
AUDI ;S8 ;4.0 -32V ;Sedan (520cv) ;A -8 ;0.018;181;0 ;0 ;7;9
AUDI ;SQ5 ;3.0 -24V ;(354cv) ;A -8 ;0.017;176;0 ;0 ;7;10
AUDI ;R8 ;5.2 -40V ;Coupé (550cv) ;DCT -7 ;0.021;249;0 ;0 ;5;8
AUDI ;S7 Sportback ;4.0 -32V ;(450cv) ;DCT -7 ;0.012;176;0 ;0 ;7;10
AUDI ;TT ;2.0 -16V ;Coupé (230cv) ;DCT -6 ;0.022;123;0 ;0 ;10;13
AUDI ;TT ;2.0 -16V ;Roadster (230cv);DCT -6 ;0.035;122;0 ;0 ;10;13
AUDI ;TTS ;2.0 -16V ;Coupé (286cv) ;DCT -6 ;0.026;140;0 ;0 ;9;11
AUDI ;TTS ;2.0 -16V ;Roadster (286cv);DCT -6 ;0.021;141;0 ;0 ;9;11
BMW ;120i ;2.0 -16V ;Active Flex ;A -8 ;0.01;128;6.5;9.3;9;13
BMW ;125i ;2.0 -16V ;Active Flex ;A -8 ;0.011;139;6;8.3;9;12
BMW ;225i ;2.0 -16V ;CAT ;A -8 ;0.053;135;0 ;0 ;9;12
BMW ;M135i ;3.0 -24V ;;A -8 ;0.011;144;0 ;0 ;8;11
BMW ;320i ;2.0 -16V ;Active Flex ;A -8 ;0.008;125;6.5;9.3;9;13
BMW ;328i ;2.0 -16V ;Active Flex ;A -8 ;0.011;127;6.4;9.1;9;13
BMW ;428i ;2.0 -16V ;Grand Coupe ;A -8 ;0.01;140;0 ;0 ;9;12
BMW ;X1 ;2.0 -16V ;sDrive20i ;A -8 ;0.022;117;0 ;0 ;10;13
BMW ;X1 ;2.0 -16v ;sDrive20i Activeflex;A -8 ;0.03;118;7;9;10;13
BMW ;X1 ;2.0 -16V ;xDrive25i ;A -8 ;0.027;125;0 ;0 ;9;13
BMW ;X1 ;2.0 -16V ;xDrive25i Activeflex;A -8 ;0.03;133;6.6;8.1;9;12
BMW ;528i ;2.0 -16V ;;A -8 ;0.012;158;0 ;0 ;7;11
BMW ;535i ;3.0 -24V ;;A -8 ;0.008;162;0 ;0 ;7;10
BMW ;M3 ;3.0 -24V ;Sedan ;DCT -7 ;0.012;160;0 ;0 ;8;10
BMW ;M6;4.4 -32V ;Gran Coupe ;DCT -7 ;0.024;171;0 ;0 ;7;10
BMW ;X3 ;2.0 -16V ;xDrive20i ;A -8 ;0.008;175;0 ;0 ;7;9
BMW ;X3 ;3.0 -24V ;xDrive35i ;A -8 ;0.009;173;0 ;0 ;7;9
BMW ;X4 ;2.0 -16V ;xDrive20i ;A -8 ;0.015;164;0 ;0 ;8;10
BMW ;X4 ;2.0 -16V ;xDrive28i ;A -8 ;0.011;155;0 ;0 ;8;11
BMW ;X4 ;3.0 -24V ;xDrive35i ;A -8 ;0.014;176;0 ;0 ;7;10
BMW ;X5 ;3.0 -24V ;xDrive35i ;A -8 ;0.01;200;0 ;0 ;6;8
BMW ;X5 ;3.0 -24V ;M50D ;A -8 ;0.309;192;0 ;0 ;10;11
BMW ;X6 ;4.4 -32V ;M ;A -8 ;0.015;230;0 ;0 ;5;7
BMW ;X6 ;3.0 -24V ;xDrive35i ;A -8 ;0.01;194;0 ;0 ;6;8
BMW ;428i ;2.0 -16V ;Cabrio ;A -8 ;0.01;140;0 ;0 ;9;12
BMW ;M235i ;3.0 -24V ;;A -8 ;0.012;153;0 ;0 ;8;11
BMW ;M4 ;3.0 -24V ;Cabrio ;DCT -7 ;0.012;160;0 ;0 ;8;10
BMW ;M4 ;3.0 -24V ;Coupe ;DCT -7 ;0.012;160;0 ;0 ;8;10
BMW ;Z4 ;2.0 -16V ;sDrive20i ;A -8 ;0.012;152;0 ;0 ;8;11
CHERY ;New QQ ;1.0 -12V ;QQ 1.0 ;M -5 ;0.017;103;0 ;0 ;12;14
CHERY ;New QQ ;1.0 -12V ;QQ 1.0 ACT ;M -5 ;0.017;103;0 ;0 ;12;14
CHERY ;Novo Celer ;1.5 -16V ;FFHB FL ;M -5 ;0.029;135;6.3;7.8;9;11
CHERY ;Novo Celer ;1.5 -16V ;Flex FL ;M -5 ;0.029;135;6.3;7.8;9;11
CHERY ;Novo Celer ;1.5 -16V ;HB FL ;M -5 ;0.029;135;6.3;7.8;9;11
CHERY ;Novo Celer ;1.5 -16V ;HB ACT ;M -5 ;0.029;135;6.3;7.8;9;11
CHERY ;Novo Celer ;1.5 -16V ;SD ACT ;M -5 ;0.029;135;6.3;7.8;9;11
CHERY ;Novo Celer ;1.5 -16V ;SD FL ;M -5 ;0.029;135;6.3;7.8;9;11
CHEVROLET ;Classic ;1.0 -8V ;LS ;M -5 ;0.014;117;7.3;8.6;11;13
CHEVROLET ;Onix ;1.0 -8V ;LS ;M -5 ;0.011;109;7.8;9.2;12;14
CHEVROLET ;Onix ;1.0 -8V ;LT ;M -5 ;0.011;109;7.8;9.2;12;14
CHEVROLET ;Onix ;1.4 -8V ;LT ;A -6 ;0.006;125;6.9;8.5;10;12
CHEVROLET ;Onix ;1.4 -8V ;LTZ ;A -6 ;0.006;125;6.9;8.5;10;12
CHEVROLET ;Onix ;1.4 -8V ;LT ;M -5 ;0.015;108;7.9;9.6;12;14
CHEVROLET ;Onix ;1.4 -8V ;LTZ ;M -5 ;0.015;108;7.9;9.6;12;14
CHEVROLET ;Onix ;1.4 -8V ;EFF ;M -5 ;0.015;108;7.9;9.6;12;14
CHEVROLET ;Prisma ;1.0 -8V ;LT ;M -5 ;0.011;109;7.8;9.2;12;14
CHEVROLET ;Prisma ;1.4 -8V ;LT ;A -6 ;0.006;125;6.9;8.5;10;12
CHEVROLET ;Prisma ;1.4 -8V ;LTZ ;A -6 ;0.006;125;6.9;8.5;10;12
CHEVROLET ;Prisma ;1.4 -8V ;ADV ;A -6 ;0.006;125;6.9;8.5;10;12
CHEVROLET ;Prisma ;1.4 -8V ;LT ;M -5 ;0.015;108;7.9;9.6;12;14
CHEVROLET ;Prisma ;1.4 -8V ;LTZ ;M -5 ;0.015;108;7.9;9.6;12;14
CHEVROLET ;Spin ;1.8 -8V ;Activ (5L) ;A -6 ;0.018;139;5.9;7.5;9;11
CHEVROLET ;Spin ;1.8 -8V ;1.8L AT LT (5L);A -6 ;0.016;141;5.9;7.4;9;11
CHEVROLET ;Spin ;1.8 -8V ;LT Advantage (5L) ;A -6 ;0.016;141;5.9;7.4;9;11
CHEVROLET ;Spin ;1.8 -8V ;MT (5L) ;M -5 ;0.021;138;6.5;7.4;9;11
CHEVROLET ;Spin ;1.8 -8V ;MT LT (5L) ;M -5 ;0.021;138;6.5;7.4;9;11
CHEVROLET ;Spin ;1.8 -8V ;MT LT Advantage (5L) ;M -5 ;0.021;138;6.5;7.4;9;11
CHEVROLET ;Cruze Sedan ;1.8 -16V ;LT NB ;A -6 ;0.016;138;6.1;7.3;9;11
CHEVROLET ;Cruze Sedan ;1.8 -16V ;LTZ NB ;A -6 ;0.016;138;6.1;7.3;9;11
CHEVROLET ;Cruze Sport 6 ;1.8 -16V ;LT HB ;A -6 ;0.016;138;6.1;7.3;9;11
CHEVROLET ;Cruze Sport 6 ;1.8 -16V ;LTZ HB ;A -6 ;0.016;138;6.1;7.3;9;11
CHEVROLET ;TRAILBLAZER (my 2017) ;3.6 -24V ;LTZ 4x4 ;A -6 ;0.01;188;0 ;0 ;7;9
CHEVROLET ;TRAILBLAZER (my 2017) ;2.8 -16V ;LT 4x4 ;A -6 ;0.339;246;0 ;0 ;8;9
CHEVROLET ;TRAILBLAZER (my 2017) ;2.8 -16V ;LTZ 4x4 ;A -6 ;0.339;246;0 ;0 ;8;9
CHEVROLET ;Spin ;1.8 -8V ;1.8L AT LTZ (7L);A -6 ;0.016;141;5.9;7.4;9;11
CHEVROLET ;Spin ;1.8 -8V ;1.8L MT LTZ (7L);M -5 ;0.021;138;6.5;7.4;9;11
CHEVROLET ;Montana ;1.4 -8V ;LS ;M -5 ;0.014;121;7.1;8.3;10;12
CHEVROLET ;Montana ;1.4 -8V ;Sport ;M -5 ;0.014;121;7.1;8.3;10;12
CHEVROLET ;S10 ;2.5 -16V ;High Country Cabine Dupla 4x4;M -6 ;0.013;176;5.1;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;High Country Cabine Dupla 4x2;M -6 ;0.013;176;5.1;5.5;7;8
CHEVROLET ;S10 ;2.4 -8V ;LS ;M -5 ;0.053;187;4.8;5.5;7;8
